Subject,Trial,Angle,Matching,Response,Time,Correct,Age,Sex
49,1,0,0,n,3107,1,32,M
49,2,150,0,n,2930,1,32,M
49,3,150,1,b,1874,1,32,M
49,4,100,1,b,3793,1,32,M
49,5,50,1,b,2184,1,32,M
49,6,50,0,n,1749,1,32,M
49,7,100,0,b,2592,0,32,M
49,8,0,1,b,2879,1,32,M
49,9,150,0,n,7281,1,32,M
49,10,150,1,b,2386,1,32,M
49,11,50,0,n,3805,1,32,M
49,12,0,0,n,1696,1,32,M
49,13,0,1,b,1440,1,32,M
49,14,100,0,n,2135,1,32,M
49,15,100,1,b,2661,1,32,M
49,16,50,1,b,1989,1,32,M
49,17,100,0,n,2144,1,32,M
49,18,150,1,b,3094,1,32,M
49,19,50,0,n,3388,1,32,M
49,20,50,1,b,1799,1,32,M
49,21,100,0,n,4289,1,32,M
49,22,0,0,n,2279,1,32,M
49,23,0,1,b,1528,1,32,M
49,24,150,0,n,3939,1,32,M
49,25,150,0,n,2659,1,32,M
49,26,50,0,n,3409,1,32,M
49,27,50,1,b,2613,1,32,M
49,28,100,1,b,2963,1,32,M
49,29,0,1,b,1258,1,32,M
49,30,0,0,n,2787,1,32,M
49,31,150,1,b,4431,1,32,M
49,32,100,0,n,4179,1,32,M
49,33,50,1,b,2364,1,32,M
49,34,100,1,b,2658,1,32,M
49,35,150,1,b,2443,1,32,M
49,36,0,0,n,2021,1,32,M
49,37,100,1,b,3099,1,32,M
49,38,150,0,n,3291,1,32,M
49,39,0,1,b,1696,1,32,M
49,40,50,0,n,3369,1,32,M
49,41,150,1,b,3324,1,32,M
49,42,0,0,n,2458,1,32,M
49,43,100,1,b,2611,1,32,M
49,44,150,0,n,4276,1,32,M
49,45,50,0,n,1798,1,32,M
49,46,100,0,n,3825,1,32,M
49,47,0,1,b,3090,1,32,M
49,48,50,1,b,2313,1,32,M
49,49,100,0,n,2706,1,32,M
49,50,150,0,n,1659,1,32,M
49,51,0,1,b,1085,1,32,M
49,52,0,0,n,1187,1,32,M
49,53,100,1,b,3695,1,32,M
49,54,50,0,n,1057,1,32,M
49,55,150,1,b,4240,1,32,M
49,56,50,1,b,1517,1,32,M
49,57,150,0,n,2749,1,32,M
49,58,100,0,b,2153,0,32,M
49,59,150,1,b,4295,1,32,M
49,60,100,1,b,2012,1,32,M
49,61,0,1,b,1246,1,32,M
49,62,0,0,n,3573,1,32,M
49,63,50,0,n,2427,1,32,M
49,64,50,1,b,2038,1,32,M
49,65,150,0,n,3910,1,32,M
49,66,0,1,b,1142,1,32,M
49,67,150,1,b,2492,1,32,M
49,68,0,0,n,2291,1,32,M
49,69,50,0,n,2106,1,32,M
49,70,50,1,b,2303,1,32,M
49,71,100,1,b,2477,1,32,M
49,72,100,0,n,2943,1,32,M
49,73,100,1,b,2034,1,32,M
49,74,100,0,n,2204,1,32,M
49,75,150,1,b,3446,1,32,M
49,76,0,0,n,2296,1,32,M
49,77,0,1,b,1871,1,32,M
49,78,50,1,b,2661,1,32,M
49,79,50,0,n,1320,1,32,M
49,80,150,0,n,4866,1,32,M
49,81,50,0,n,3019,1,32,M
49,82,0,1,b,1148,1,32,M
49,83,150,0,n,2097,1,32,M
49,84,50,1,b,1902,1,32,M
49,85,100,1,b,2158,1,32,M
49,86,0,0,n,2618,1,32,M
49,87,150,1,b,4693,1,32,M
